VMV_Code,National_Variable_Code,Variable_Common_Name,Variable_Common_Name_fr,variable_type,Variable_type_fr,measurement_unit,description,Description_fr,National_Method_Code,Method_Title,Method_Title_fr
36014,433,COLIFORMS FECAL,COLIFORMES FCAUX,BIOLOGICAL,BIOLOGIQUE,NO/100ML,NUMBER PER 100 MILLILITERS,NOMBRE PAR 100 MILLILITRES,1418,MEMBRANE FILTRATION,FILTRATION SUR MEMBRANE
36103,514,FECAL STREPTOCOCCI,STREPTOCOQUES FCAUX,BIOLOGICAL,BIOLOGIQUE,NO/100ML,NUMBER PER 100 MILLILITERS,NOMBRE PAR 100 MILLILITRES,1421,MEMBRANE FILTRATION,FILTRATION SUR MEMBRANE
74339,2723,METHYLCHLOROPHENOXYPROPIONIC ACID (MCPP),ACIDE MTHYLCHLOROPHNOXYPROPIONIQUE (MCPP),HERBICIDES,HERBICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,4196,ANALYSIS OF ACIDIC HERBICIDES IN WATER IS PERFORMED BY LIQUID-LIQUID EXTRACTION.,LANALYSE D'HERBICIDES ACIDES DANS L'EAU EST EFFECTUE PAR EXTRACTION LIQUIDE/LIQUIDE.
74473,617,TOTAL NITRATE,NITRATES TOTAUX,NITROGEN,AZOTE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,1922,"IONS BY ION CHROMATOGRAPHY, UNFILTERED SAMPLE","IONS PAR CHROMATOGRAPHIE IONIQUE, CHANTILLON NON-FILTR"
80152,864,TURBIDITY,TURBIDIT,PHYSICAL,PHYSIQUE,NTU,NEPHELOMETRIC TURBIDITY UNIT,UNIT DE TURBIDIT NPHLOMTRIQUE,1830,TURBIDITY MEASURED WITH NEPHELOMETRIC METHOD,MESURE DE LA TURBIDIT AVEC LA MTHODE NPHLOMTRIQUE
80315,548,MERCURY EXTRACTABLE,MERCURE EXTRACTIBLE,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1611,MERCURY BY FLAMELESS ATOMIC ABSORPTION ON AUTOANALYZER,MERCURE PAR ABSORPTION ATOMIQUE SANS FLAMME SUR AUTOANALYSEUR
97060,839,TEMPERATURE (AIR),TEMPRATURE (AIR),PHYSICAL,PHYSIQUE,DEG C,DEGREE CELSIUS,DEGR CELSIUS,2182,AIR TEMPERATURE REPORTED AS DEGREES C.,TEMPRATURE DE L'AIR RAPPORTE EN DEGRS C
97251,497,DEPTH OF SAMPLING FROM SURFACE,PROFONDEUR D'CHANTILLONNAGE  PARTIR DE LA SURFACE,PHYSICAL,PHYSIQUE,M,METER,MTRE,2214,"DEPTH MEASURED VERTICALLY IN METERS FROM THE SURFACE OF RIVER, LAKE","PROFONDEUR MESURE VERTICALEMENT EN MTRES DEPUIS LA SURFACE DE LA RIVIRE, DU LAC"
97290,447,CONCENTRATION SUSPENDED SEDIMENT,CONCENTRATION SDIMENTS EN SUSPENSION,PHYSICAL,PHYSIQUE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2225,CALCULATION OF TOTAL SAMPLE DRY WEIGHT,CALCUL DU POIDS SEC TOTAL D'UN CHANTILLON
97501,401,BORON TOTAL,BORE  TOTAL,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97502,388,BARIUM TOTAL,BARYUM TOTAL,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97503,393,BERYLLIUM TOTAL,BRYLLIUM TOTAL,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97504,1049,BISMUTH TOTAL,BISMUTH TOTAL,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97505,412,CADMIUM TOTAL,CADMIUM TOTAL,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97506,1002,CERIUM TOTAL,CRIUM TOTAL,RARE EARTH,TERRES RARES,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97507,456,COBALT TOTAL,COBALT TOTAL,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97508,463,CHROMIUM TOTAL,CHROME TOTAL,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97509,1003,CESIUM TOTAL,CSIUM TOTAL,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97510,470,COPPER  TOTAL,CUIVRE TOTAL,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97511,519,IRON TOTAL,FER TOTAL,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97512,3135,GALLIUM TOTAL,GALLIUM TOTAL,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97513,1006,LANTHANUM TOTAL,LANTHANE TOTAL,RARE EARTH,TERRES RARES,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97514,576,LITHIUM TOTAL,LITHIUM TOTAL,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97515,591,MANGANESE TOTAL,MANGANSE TOTAL,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97516,595,MOLYBDENUM TOTAL,MOLYBDNE TOTAL,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97517,3334,NIOBIUM TOTAL,NIOBIUM TOTAL,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97518,610,NICKEL  TOTAL,NICKEL  TOTAL,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97519,683,LEAD TOTAL,PLOMB TOTAL,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97520,3335,PLATINUM TOTAL,PLATINE TOTAL,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97521,1008,RUBIDIUM TOTAL,RUBIDIUM TOTAL,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97522,766,ANTIMONY TOTAL,ANTIMOINE TOTAL,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97523,782,SELENIUM TOTAL,SLNIUM TOTAL,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97524,812,TIN TOTAL,TAIN TOTAL,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97525,823,STRONTIUM TOTAL,STRONTIUM TOTAL,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97527,861,THALLIUM TOTAL,THALLIUM TOTAL,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97528,2725,URANIUM TOTAL,URANIUM TOTAL,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97529,878,VANADIUM TOTAL,VANADIUM TOTAL,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97530,1013,TUNGSTEN TOTAL,TUNGSTNE TOTAL,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97531,3336,YTTRIUM TOTAL,YTTRIUM TOTAL,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97532,890,ZINC TOTAL,ZINC TOTAL,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1919,"TOTAL METALS IN WATER WITH ""IN-BOTTLE"" DIGESTION AND USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS)","MTAUX TOTAUX DANS L'EAU AVEC DIGESTION ""EN BOUTEILLE"" PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)"
97578,349,SILVER EXTRACTABLE,ARGENT EXTRACTIBLE,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1917,EXTRACTABLE METALS IN WATER USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS),MTAUX EXTRACTIBLES DANS L'EAU PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)
97579,371,ALUMINUM EXTRACTABLE,ALUMINIUM EXTRACTIBLE,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1917,EXTRACTABLE METALS IN WATER USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS),MTAUX EXTRACTIBLES DANS L'EAU PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)
97580,377,ARSENIC EXTRACTABLE,ARSENIC EXTRACTIBLE,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1917,EXTRACTABLE METALS IN WATER USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS),MTAUX EXTRACTIBLES DANS L'EAU PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)
97581,400,BORON EXTRACTABLE,BORE EXTRACTIBLE,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1917,EXTRACTABLE METALS IN WATER USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS),MTAUX EXTRACTIBLES DANS L'EAU PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)
97582,387,BARIUM EXTRACTABLE,BARYUM EXTRACTIBLE,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1917,EXTRACTABLE METALS IN WATER USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS),MTAUX EXTRACTIBLES DANS L'EAU PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)
97583,392,BERYLLIUM EXTRACTABLE,BRYLLIUM EXTRACTIBLE,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1917,EXTRACTABLE METALS IN WATER USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS),MTAUX EXTRACTIBLES DANS L'EAU PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)
97584,2832,BISMUTH EXTRACTABLE,BISMUTH EXTRACTIBLE,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1917,EXTRACTABLE METALS IN WATER USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS),MTAUX EXTRACTIBLES DANS L'EAU PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)
97585,410,CADMIUM EXTRACTABLE,CADMIUM EXTRACTIBLE,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1917,EXTRACTABLE METALS IN WATER USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS),MTAUX EXTRACTIBLES DANS L'EAU PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)
97586,3488,CERIUM EXTRACTABLE,CRIUM EXTRACTIBLE,RARE EARTH,TERRES RARES,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1917,EXTRACTABLE METALS IN WATER USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS),MTAUX EXTRACTIBLES DANS L'EAU PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)
97587,454,COBALT EXTRACTABLE,COBALT EXTRACTIBLE,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1917,EXTRACTABLE METALS IN WATER USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS),MTAUX EXTRACTIBLES DANS L'EAU PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)
97588,461,CHROMIUM EXTRACTABLE,CHROME EXTRACTIBLE,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1917,EXTRACTABLE METALS IN WATER USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS),MTAUX EXTRACTIBLES DANS L'EAU PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)
97589,3333,CESIUM EXTRACTABLE,CSIUM EXTRACTIBLE,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1917,EXTRACTABLE METALS IN WATER USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS),MTAUX EXTRACTIBLES DANS L'EAU PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)
97590,468,COPPER  EXTRACTABLE,CUIVRE EXTRACTIBLE,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1917,EXTRACTABLE METALS IN WATER USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS),MTAUX EXTRACTIBLES DANS L'EAU PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)
97591,517,IRON EXTRACTABLE,FER EXTRACTIBLE,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1917,EXTRACTABLE METALS IN WATER USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS),MTAUX EXTRACTIBLES DANS L'EAU PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)
97592,2843,GALLIUM EXTRACTABLE,GALLIUM EXTRACTIBLE,METAL,MTAUX,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1917,EXTRACTABLE METALS IN WATER USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS),MTAUX EXTRACTIBLES DANS L'EAU PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)
97593,2845,LANTHANUM EXTRACTABLE,LANTHANE EXTRACTIBLE,RARE EARTH,TERRES RARES,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,1917,EXTRACTABLE METALS IN WATER USING INDUCTIVELY COUPLED ARGON PLASMA-SECTOR FIELD MASS SPECTROMETER (ICP-SFMS),MTAUX EXTRACTIBLES DANS L'EAU PAR SPECTROMTRE DE MASSE  CHAMP DE PLASMA DARGON COUPL INDUCTIVEMENT (ICP-SFMS)
